Iteration	pt_travel	pt_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
175	30842.706666666665	24144.31	0.0	0.0	11513.736666666666	0.0
176	30768.632222222222	24365.914722222224	0.0	0.0	11561.443888888889	0.0
177	30650.830555555556	24382.772777777776	0.0	0.0	11460.0725	0.0
178	31000.066944444443	24987.55888888889	0.0	0.0	11158.541666666666	0.0
179	31110.405277777776	25354.575555555555	0.0	0.0	10940.684722222222	0.0
180	30942.466111111113	26107.764444444445	0.0	0.0	10930.704444444444	0.0
181	31127.57611111111	25753.615	0.0	0.0	10870.954722222223	0.0
182	31207.958333333332	25407.613611111112	0.0	0.0	10901.103333333333	0.0
183	31005.28277777778	24957.35777777778	0.0	0.0	10951.026944444444	0.0
184	31417.704166666666	27281.68666666667	0.0	0.0	9561.575833333334	0.0
185	31437.690833333334	26783.075555555555	0.0	0.0	9268.238333333333	0.0
186	31409.37361111111	25533.904166666667	0.0	0.0	8766.558611111112	0.0
187	31650.099444444444	24921.27388888889	0.0	0.0	8557.54361111111	0.0
188	31795.27666666667	25569.06388888889	0.0	0.0	8242.053055555556	0.0
189	31933.070277777777	24829.251666666667	0.0	0.0	7795.763888888889	0.0
190	31948.929722222223	24288.838055555556	0.0	0.0	7262.120277777778	0.0
191	31806.42111111111	24690.684444444443	0.0	0.0	6908.376666666667	0.0
192	32118.321111111112	23833.46361111111	0.0	0.0	6641.814166666667	0.0
193	32087.204444444444	22974.06166666667	0.0	0.0	6084.659722222223	0.0
194	32271.70611111111	23420.89861111111	0.0	0.0	5636.03	0.0
195	32209.35722222222	23503.1175	0.0	0.0	5261.088055555556	0.0
196	32240.983888888888	23199.95888888889	0.0	0.0	4940.07	0.0
197	32383.32972222222	23213.8925	0.0	0.0	4768.725555555556	0.0
198	32292.50222222222	22605.44111111111	0.0	0.0	4676.574444444444	0.0
199	32464.708055555555	22520.8325	0.0	0.0	4545.613611111111	0.0
200	32360.488611111112	22538.913055555557	0.0	0.0	4337.743055555556	0.0
201	32362.25083333333	22009.735833333332	0.0	0.0	4245.678333333333	0.0
202	32420.350555555557	22368.755	0.0	0.0	4137.676111111111	0.0
203	32403.24638888889	22011.37777777778	0.0	0.0	4097.79	0.0
204	32507.641111111112	22716.693888888887	0.0	0.0	4033.341388888889	0.0
205	32553.625	21693.873333333333	0.0	0.0	4065.7394444444444	0.0
206	32654.395833333332	22081.215	0.0	0.0	3965.8161111111112	0.0
207	32536.295	22382.749722222223	0.0	0.0	3950.7541666666666	0.0
208	32658.891666666666	22180.084444444445	0.0	0.0	3906.824722222222	0.0
209	32814.70277777778	22084.707222222223	0.0	0.0	3909.3552777777777	0.0
210	32745.733888888888	22045.05638888889	0.0	0.0	3888.5911111111113	0.0
211	32855.482777777775	21855.59361111111	0.0	0.0	3671.8855555555556	0.0
212	32658.48611111111	22294.35138888889	0.0	0.0	3537.5725	0.0
213	32817.408055555556	22016.37361111111	0.0	0.0	3518.006388888889	0.0
214	32850.59805555556	22382.544166666667	0.0	0.0	3474.508611111111	0.0
215	32751.408333333333	22055.46222222222	0.0	0.0	3461.5108333333333	0.0
216	32781.336388888885	22466.206944444446	0.0	0.0	3413.098611111111	0.0
217	32822.36555555555	21924.8825	0.0	0.0	3401.7566666666667	0.0
218	32737.325555555555	21864.5375	0.0	0.0	3405.74	0.0
219	32804.98055555556	21875.309166666666	0.0	0.0	3320.1691666666666	0.0
220	32709.623055555556	21776.385	0.0	0.0	3274.4830555555554	0.0
221	32778.78638888889	21950.562777777777	0.0	0.0	3295.016666666667	0.0
222	32803.934166666666	22102.047222222223	0.0	0.0	3291.5202777777777	0.0
223	32751.667222222222	22022.135555555556	0.0	0.0	3136.4425	0.0
224	32825.935	21903.98972222222	0.0	0.0	3160.8319444444446	0.0
225	32897.75027777778	22034.234166666665	0.0	0.0	3195.9494444444445	0.0
226	32786.13611111111	22886.395555555555	0.0	0.0	3166.7208333333333	0.0
227	32864.195555555554	22373.493611111113	0.0	0.0	3231.046388888889	0.0
228	32847.675833333335	22676.83388888889	0.0	0.0	3221.8975	0.0
229	32891.01944444444	21886.783055555556	0.0	0.0	3257.896111111111	0.0
230	32780.320555555554	22180.375277777777	0.0	0.0	3133.5391666666665	0.0
231	32844.14083333333	22208.63888888889	0.0	0.0	3248.6441666666665	0.0
232	32887.618055555555	21852.51027777778	0.0	0.0	3276.1222222222223	0.0
233	32862.72138888889	21860.321944444444	0.0	0.0	3225.4152777777776	0.0
234	32935.40555555555	22677.75	0.0	0.0	3175.2775	0.0
235	32813.60444444444	21794.883333333335	0.0	0.0	3217.429166666667	0.0
236	32900.07722222222	22009.18222222222	0.0	0.0	3238.0788888888887	0.0
237	32891.30694444444	21947.468333333334	0.0	0.0	3164.5680555555555	0.0
238	32946.11666666667	22288.833333333332	0.0	0.0	3209.3044444444445	0.0
239	32891.3775	21563.591944444444	0.0	0.0	3295.8630555555555	0.0
240	32998.36361111111	22015.515277777777	0.0	0.0	3266.1022222222223	0.0
241	32917.57722222222	21577.860277777778	0.0	0.0	3186.342222222222	0.0
242	33055.1825	21682.779444444444	0.0	0.0	3254.586388888889	0.0
243	32964.60833333333	21704.296944444446	0.0	0.0	3211.824722222222	0.0
244	33096.72305555556	21891.533333333333	0.0	0.0	3211.178888888889	0.0
245	33086.55055555556	21290.838888888888	0.0	0.0	3243.4683333333332	0.0
246	33179.65611111111	21793.60138888889	0.0	0.0	3249.1341666666667	0.0
247	33024.26	21248.1725	0.0	0.0	3267.304166666667	0.0
