ITERATION	avg. Average Leg distance	avg. Average Trip distance
182	9361.588568468333	29539.04268227269	
183	9310.453539098024	29392.780277623377	
184	9350.615595485642	29539.609873734516	
185	9297.096595809819	29351.6634586427	
186	9322.732929489162	29445.88031757544	
187	9306.293109392782	29410.239288160323	
188	9307.234773575265	29398.50217261998	
189	9249.716847520474	29202.76420225351	
190	9256.098491338067	29208.234403572536	
191	9259.905237442747	29228.02810933371	
192	9206.662644945216	29048.011404529316	
193	9186.673724105509	28966.98397551246	
194	9180.397872219368	28942.501768598235	
195	9171.898334788295	28919.744254161218	
196	9183.795298064602	28956.86564569571	
197	9147.45446143991	28833.303442311502	
198	9153.872386662017	28884.97782210236	
199	9140.236038758747	28839.040480893073	
200	9152.686734877354	28901.354855701247	
201	9129.163363046673	28825.330798961793	
202	9145.375454380435	28882.017305277288	
203	9136.718863220252	28839.98168628499	
204	9170.119046832551	28947.456762331753	
205	9141.0310632741	28820.87419674194	
206	9146.364650544274	28860.11076539457	
207	9143.123012246126	28826.725263095	
208	9153.639948711154	28882.31587281684	
209	9140.869542853874	28821.806016270817	
210	9158.161818687471	28879.277570395716	
211	9152.24492911365	28849.56984451508	
212	9110.044205137852	28712.151265434008	
213	9136.031055703299	28793.005254871125	
214	9113.379451776309	28728.012237776216	
215	9144.622258592026	28819.433060145904	
216	9112.409731063119	28718.584396923827	
217	9137.105433810997	28789.04505601624	
218	9118.985891016517	28726.79944008143	
219	9148.799070681562	28829.101710373277	
220	9146.44316821721	28804.41858455078	
221	9160.847218506937	28852.8188916725	
222	9140.843450718217	28770.761033728017	
223	9165.424159560132	28863.4730682366	
224	9163.533460187566	28839.7751277611	
225	9136.912642094821	28771.380991121776	
226	9140.190082029449	28766.585251300996	
227	9139.360170540858	28777.857473994936	
228	9165.91781067424	28851.999229598245	
229	9160.343379997754	28837.70622887753	
230	9165.894641221405	28858.54668217247	
231	9163.20202953584	28841.211388164036	
232	9151.815942998614	28808.011935898237	
233	9161.099517835253	28837.139121490243	
234	9154.776329752574	28816.63756090586	
235	9173.370715397423	28880.46826541425	
236	9187.683597954132	28924.76168566997	
237	9184.967202084485	28911.26199884955	
238	9204.260736103297	28980.18287127406	
239	9182.293345635817	28895.061307117776	
240	9211.320365875901	28997.8611854761	
241	9237.364948782471	29079.218859135584	
242	9238.355853965018	29081.81310458876	
243	9226.644950470838	29044.764805401577	
244	9222.844995106847	29032.96460711758	
245	9214.348342250174	28998.92021630362	
246	9208.29700954819	28990.268272498204	
247	9212.654080692813	29000.682278193854	
248	9214.94744182794	29020.979034732485	
249	9265.538801175042	29172.642384141283	
250	9247.472804148434	29125.16417988601	
251	9221.58080152062	29041.118222104316	
252	9225.27483069823	29072.16434739862	
253	9238.808260138601	29109.030995106263	
254	9202.540598189482	29003.295758010965	
255	9267.371586237716	29206.847994741613	
256	9233.233374486797	29101.39038811147	
257	9240.127143158934	29115.031971447806	
258	9268.878049146497	29236.626522368304	
259	9278.747860394466	29253.436993745774	
260	9252.147662746853	29178.726941550492	
261	9280.409716922568	29260.001746296446	
262	9290.874075281981	29303.578291683745	
263	9268.251875895865	29222.21484917307	
