Iteration	pt	walk
404	1908101.085	42646.10018625891
405	1914002.773	42663.11557098666
406	1909852.146	42629.2278808354
407	1915795.109	42615.47437943049
408	1910028.241	42639.71766043986
409	1918470.28	42641.461507500084
410	1905650.77	42692.622318496215
411	1924678.04	42661.19869358459
412	1911175.044	42688.58743653822
413	1919437.23	42636.38064757319
414	1915822.157	42637.3926137059
415	1907428.039	42570.85847757275
416	1920652.762	42607.4698075584
417	1904703.532	42686.45143104925
418	1914627.857	42617.03194296215
419	1903267.005	42665.02141752292
420	1913710.689	42646.698851470144
421	1910620.237	42651.24401590881
422	1917202.473	42687.974982744745
423	1910550.596	42596.98554338683
424	1917932.323	42630.52552238556
425	1909517.246	42697.66193726699
426	1912591.268	42622.61719549088
427	1908700.051	42633.091187085905
428	1923405.889	42654.61358597732
429	1913025.369	42655.70506813171
430	1913138.876	42672.08179889561
431	1910679.195	42645.335460773065
432	1909804.019	42612.445230119745
433	1907319.231	42597.4157744503
434	1921449.426	42644.5279149062
435	1907644.031	42664.76481036085
436	1914716.942	42618.47025348681
437	1911498.682	42617.038377633864
438	1911497.765	42664.65750745846
439	1902613.597	42661.347823717224
440	1909406.016	42550.888126780104
441	1904779.716	42672.84705977698
442	1911858.093	42607.62575620605
443	1901737.054	42666.497626555276
444	1908602.375	42559.56171455614
445	1905185.262	42655.034240809335
446	1918887.453	42661.237301614834
447	1906229.728	42636.44729977393
448	1918936.63	42634.63404279651
449	1909454.82	42654.220384861335
450	1910345.985	42682.55319372376
451	1917549.63	42702.12115101228
452	1912211.067	42720.74912901003
453	1919725.137	42627.99653857676
454	1915380.906	42675.76066009519
455	1921959.531	42641.79140572838
456	1912226.982	42647.048926099604
457	1917739.177	42717.092206093585
458	1913835.324	42658.12546766346
459	1910569.736	42630.76889806838
460	1918850.411	42736.483606495065
461	1916535.48	42763.8039149714
462	1913608.069	42695.55391974744
463	1905187.774	42718.0058013172
464	1913957.269	42685.83621953934
465	1908502.888	42694.95985073029
466	1914684.811	42641.18449442702
467	1907346.209	42658.4875392503
468	1908981.712	42601.45854571435
469	1904554.301	42609.78750038184
470	1922183.025	42622.750537614076
471	1907493.108	42645.27070325105
472	1916283.523	42646.69425527606
473	1907364.413	42612.70753537176
474	1922026.547	42611.935455975385
475	1916043.846	42595.32897716132
476	1916143.234	42644.74231099473
477	1913762.781	42614.83894466663
478	1917411.976	42599.29170618727
479	1905369.875	42665.0974663056
480	1910067.921	42595.88043359978
481	1906952.988	42643.15257410452
482	1911201.463	42636.20723338805
483	1909786.418	42667.83619780434
484	1908110.072	42596.815270761435
485	1912516.433	42666.33795409961
486	1917163.837	42602.22694815545
487	1909078.963	42651.529329190416
488	1916594.853	42639.30803647362
489	1909144.087	42708.373342279934
490	1919873.256	42639.481986054285
491	1914118.247	42726.953644449866
492	1904224.793	42692.81189513673
493	1911815.647	42633.501319486
494	1910756.959	42618.74085894738
495	1912450.04	42707.37082893023
496	1905025.546	42698.83143013012
497	1909487.021	42678.619106084465
498	1901759.432	42633.457854866814
499	1913525.635	42615.71170963664
500	1904868.179	42728.13442857364
501	1910205.325	42681.95912470662
502	1911408.264	42660.64139412006
503	1917794.296	42716.84642008104
504	1914992.907	42625.72204997766
505	1915635.826	42617.52054755454
506	1912596.946	42762.8263714798
507	1913637.46	42646.282034542965
508	1909971.549	42669.5704686331
509	1915612.167	42619.02533072799
510	1916596.882	42623.21937670779
511	1917636.19	42680.39236878679
512	1918217.485	42693.97705220064
513	1913256.511	42698.99932888237
514	1915374.082	42726.611796116966
515	1921791.456	42651.68619707687
516	1902808.065	42649.19600930712
