# iteration	operator	status	plan id	creator	parent	vehicle	pax	score	budget	start time	end time	important stops	links
5	para_5_53	BANKRUPT	5_0	CreateNewPlan	none	5	73	-12862.585615722222	-12861.585615722222	08:15:00	09:30:00	[para_31, para_236]	[31, 26, 236, 31]
5	para_5_53	BANKRUPT	=====	=====	=====	5	73	-12862.585615722222	-12861.585615722222	=====	=====	=====	=====
5	para_5_54	BANKRUPT	5_0	CreateNewPlan	none	5	63	-9433.313943833333	-9432.313943833333	22:00:00	24:00:00	[para_41, para_80]	[41, 38, 86, 69, 27, 1, 130, 284, 81, 80, 285, 131, 0, 26, 68, 87, 39, 40, 41]
5	para_5_54	BANKRUPT	=====	=====	=====	5	63	-9433.313943833333	-9432.313943833333	=====	=====	=====	=====
5	para_5_55	BANKRUPT	5_0	CreateNewPlan	none	5	143	-11042.023360333333	-11041.023360333333	15:15:00	18:00:00	[para_70, para_44]	[70, 80, 45, 44, 239, 70]
5	para_5_55	BANKRUPT	=====	=====	=====	5	143	-11042.023360333333	-11041.023360333333	=====	=====	=====	=====
5	para_5_56	BANKRUPT	5_0	CreateNewPlan	none	5	133	-13114.134917222222	-13113.134917222222	07:00:00	08:15:00	[para_177, para_239]	[177, 20, 67, 9, 5, 115, 130, 284, 239, 49, 50, 63, 60, 177]
5	para_5_56	BANKRUPT	=====	=====	=====	5	133	-13114.134917222222	-13113.134917222222	=====	=====	=====	=====
5	para_5_57	BANKRUPT	5_0	CreateNewPlan	none	5	86	-13162.262192944445	-13161.262192944445	07:00:00	08:45:00	[para_276, para_149]	[276, 77, 49, 149, 5, 115, 2, 279, 103, 276]
5	para_5_57	BANKRUPT	=====	=====	=====	5	86	-13162.262192944445	-13161.262192944445	=====	=====	=====	=====
5	para_5_58	BANKRUPT	5_0	CreateNewPlan	none	5	311	-10937.283700777776	-10936.283700777776	15:00:00	15:15:00	[para_248, para_203]	[248, 207, 203, 26, 68, 87, 248]
5	para_5_58	BANKRUPT	=====	=====	=====	5	311	-10937.283700777776	-10936.283700777776	=====	=====	=====	=====
5	para_5_59	BANKRUPT	5_0	CreateNewPlan	none	5	191	-11056.12911611111	-11055.12911611111	15:00:00	15:15:00	[para_83, para_101]	[83, 80, 283, 101, 43, 44, 81, 82, 83]
5	para_5_59	BANKRUPT	=====	=====	=====	5	191	-11056.12911611111	-11055.12911611111	=====	=====	=====	=====
5	para_5_60	BANKRUPT	5_0	CreateNewPlan	none	5	118	-13130.261657166666	-13129.261657166666	07:00:00	07:15:00	[para_83, para_242]	[83, 71, 72, 242, 105, 103, 274, 110, 109, 107, 83]
5	para_5_60	BANKRUPT	=====	=====	=====	5	118	-13130.261657166666	-13129.261657166666	=====	=====	=====	=====
